,index,MARS,known_types,Obp19d,Obp56d,Obp83a,seq_batch,seq_depth,HDBSCAN_attempt,Or85c,5-HT1A,5-HT2B,Type,annotated
1589,ORN_10day_nuclei_P3_K19,2,DM2,8.110158,4.7161026,9.761007,Plate #3 (lam::GFP),711918,3,0.0,0.0,1.2658306,Or_DM2,DM2
1590,ORNnuclei_adult_nSybUNC84GFP_P7_F7,7,DC1,12.478764,0.0,4.619562,Plate #7 (unc84::GFP),169617,-1,0.0,0.0,9.1168375,Or_DC1,DC1
1591,ORNnuclei_adult_nSybUNC84GFP_P7_B7,22,NaN,14.478358,4.9335694,12.144624,Plate #7 (unc84::GFP),236807,12,0.0,0.0,7.99079,Or_MARS22,unannotated
1592,ORNnuclei_adult_nSybUNC84GFP_P2_G22,12,"DL2v/d, DP1l, DC4/DP1m",11.112983,0.0,0.0,Plate #2 (unc84::GFP) (unc84::GFP),203719,1,0.0,0.0,0.0,Ir_DL2d/v_DP1l_VC3,DL2d/v_DP1l_VC3l
1593,ORNnuclei_adult_nSybUNC84GFP_P5_O6,14,DM1/VA2,12.143907,11.440905,4.6850886,Plate #5 (unc84::GFP),202226,7,0.0,0.0,8.092614,Or_DM1,DM1
1594,ORNnuclei_adult_nSybUNC84GFP_P6_G10,1,DM4,11.974791,4.213588,8.943941,Plate #6 (unc84::GFP),227880,2,0.0,0.0,10.855532,Or_DM4,DM4
1595,ORNnuclei_adult_nSybUNC84GFP_P5_N6,22,NaN,13.904457,8.626808,12.604549,Plate #5 (unc84::GFP),134415,1,0.0,0.0,0.0,Or_MARS22,unannotated
1596,ORNnuclei_adult_nSybUNC84GFP_P10_D8,13,"DL2v/d, DP1l, DC4/DP1m",9.744179,1.9612359,0.0,Plate #10 (unc84::GFP),345548,1,0.0,0.0,5.2713284,Ir_DP1m_DC4,DP1m_DC4
1597,ORN_10day_nuclei_P2_N12,22,DA3?,12.719162,8.9902935,13.563646,Plate #2 (lam::GFP),1483549,-1,0.0,0.0,2.127731,Or_MARS22,unannotated
1598,ORN_10day_nuclei_P3_D6,5,DA1,9.820723,0.0,10.421844,Plate #3 (lam::GFP),1014014,4,0.0,0.0,0.0,Or_DA1,DA1
1599,ORNnuclei_adult_nSybUNC84GFP_P3_G12,14,DM1/VA2,0.0,0.0,7.1128273,Plate #3 (unc84::GFP),116438,6,0.0,0.0,0.0,Or_DM1,DM1
1600,ORNnuclei_adult_nSybUNC84GFP_P10_G19,13,"DL2v/d, DP1l, DC4/DP1m",8.949259,0.0,0.0,Plate #10 (unc84::GFP),443944,1,0.0,0.0,10.615414,Ir_DP1m_DC4,DP1m_DC4
1601,ORNnuclei_adult_nSybUNC84GFP_P3_L16,12,NaN,10.854353,0.0,0.0,Plate #3 (unc84::GFP),194559,-1,0.0,0.0,2.6181984,Ir_DL2d/v_DP1l_VC3,DL2d/v_DP1l_VC3l
1602,ORNnuclei_adult_nSybUNC84GFP_P7_P9,22,NaN,13.402898,10.191275,10.96791,Plate #7 (unc84::GFP),448563,12,0.0,0.0,6.494634,Or_MARS22,unannotated
1603,ORNnuclei_adult_nSybUNC84GFP_P6_G6,1,DM4,11.229001,7.8877015,8.719014,Plate #6 (unc84::GFP),292585,2,0.0,0.0,0.0,Or_DM4,DM4
1604,ORNnuclei_adult_nSybUNC84GFP_P9_F24,24,DM4,12.42236,10.377192,11.320471,Plate #9 (unc84::GFP),226489,2,0.0,0.0,7.507987,Or_MARS24,unannotated
1605,ORN_10day_nuclei_P2_K24,14,DM1/VA2,11.447743,7.7104487,14.226031,Plate #2 (lam::GFP),2158811,7,0.0,0.0,0.0,Or_DM1,DM1
1606,ORNnuclei_adult_nSybUNC84GFP_P7_A3,22,NaN,16.307,13.365197,10.505385,Plate #7 (unc84::GFP),305665,12,0.0,0.0,0.0,Or_MARS22,unannotated
1607,ORNnuclei_adult_nSybUNC84GFP_P2_H7,14,DM1/VA2,4.650322,10.31051,6.2258124,Plate #2 (unc84::GFP) (unc84::GFP),663562,6,0.0,0.0,0.0,Or_DM1,DM1
1608,ORNnuclei_adult_nSybUNC84GFP_P10_I16,7,DC1,7.904084,3.079664,0.0,Plate #10 (unc84::GFP),268306,15,0.0,0.0,9.439287,Or_DC1,DC1
1609,ORNnuclei_adult_nSybUNC84GFP_P10_M6,15,DM1/VA2,7.292649,0.0,0.0,Plate #10 (unc84::GFP),160477,5,0.0,0.0,3.7509115,Or_VA2,VA2
1610,ORNnuclei_adult_nSybUNC84GFP_P6_K19,20,NaN,3.3198686,9.170143,4.2457595,Plate #6 (unc84::GFP),445150,1,0.0,0.0,1.6988558,Ir_MARS20,unannotated
